Этап	Задача_бэклога	Полная_без_агента	Полная_с_агентом	Сделано_без_агента	Сделано_с_агентом	Остаток_без_агента	Остаток_с_агентом	Эффект_агента_%
0.0	0.0.1	8.5	5.5	8.5	5.5	0.0	0.0	35.3
0.0	0.0.2	4.5	2.5	4.5	2.5	0.0	0.0	44.4
0.0	0.0.3	12.0	7.0	12.0	7.0	0.0	0.0	41.7
0.0	0.0.4	8.0	4.5	8.0	4.5	0.0	0.0	43.8
0.0	0.0.5	6.0	3.0	0.0	0.0	6.0	3.0	50.0
0.0	0.0.6	15.0	10.5	15.0	10.5	0.0	0.0	30.0
0.1	0.1.1	7.0	3.6	7.0	3.6	0.0	0.0	48.6
0.1	0.1.2	10.0	5.0	10.0	5.0	0.0	0.0	50.0
0.1	0.1.3	17.0	8.5	17.0	8.5	0.0	0.0	50.0
0.1	0.1.4	22.0	14.5	11.0	7.5	11.0	7.0	34.1
0.1	0.1.5	32.5	22.8	32.5	22.8	0.0	0.0	29.8
0.1	0.1.6	27.0	15.0	27.0	15.0	0.0	0.0	44.4
0.1	0.1.7	37.0	22.3	25.5	14.5	11.5	7.8	39.7
0.1	0.1.8	18.5	13.5	18.5	13.5	0.0	0.0	27.0
0.2	0.2.1	34.5	23.8	0.0	0.0	34.5	23.8	31.0
0.2	0.2.2	14.0	8.0	2.8	1.4	11.2	6.6	42.9
0.2	0.2.3	280.0	90.0	30.0	13.0	250.0	77.0	67.9
0.2	0.2.4	61.0	39.5	0.0	0.0	61.0	39.5	35.2
0.3	0.3.1	69.5	33.0	0.0	0.0	69.5	33.0	52.5
0.4	0.4.1	43.0	25.5	0.0	0.0	43.0	25.5	40.7
0.5	0.5.1	29.5	16.5	0.0	0.0	29.5	16.5	44.1
0.5	0.5.2	13.0	7.0	0.0	0.0	13.0	7.0	46.2
0.5	0.5.3	13.0	7.0	0.0	0.0	13.0	7.0	46.2
0.5	0.5.4	23.0	12.0	0.0	0.0	23.0	12.0	47.8
0.5	0.5.5	0.0	6.0	0.0	0.0	0.0	6.0	0.0
0.5	0.5.6	2.0	1.0	0.0	0.0	2.0	1.0	50.0
0.5	0.5.7	45.5	26.8	0.0	0.0	45.5	26.8	41.1
0.5	0.5.8	8.0	6.0	0.0	0.0	8.0	6.0	25.0
0.6	0.6.1	8.0	4.0	1.5	0.8	6.5	3.2	50.0
0.6	0.6.2	21.0	11.5	3.1	1.6	17.9	9.9	45.2
0.6	0.6.3	16.0	8.6	0.0	0.0	16.0	8.6	46.2
0.6	0.6.4	0.0	5.0	0.0	0.0	0.0	5.0	0.0
0.6	0.6.5	24.5	15.3	0.0	0.0	24.5	15.3	37.6
0.7	0.7.1	9.5	4.8	1.5	0.8	8.0	4.0	49.5
0.7	0.7.2	387.5	146.9	0.0	0.0	387.5	146.9	62.1
0.7	0.7.3	56.0	43.5	0.0	0.0	56.0	43.5	22.3
0.7	0.7.4	40.0	26.0	0.0	0.0	40.0	26.0	35.0
0.8	0.8.1	2.5	1.5	1.0	0.5	1.5	1.0	40.0
0.8	0.8.2	32.5	11.4	0.0	0.0	32.5	11.4	64.9
0.8	0.8.3	9.0	7.0	0.0	0.0	9.0	7.0	22.2
0.8	0.8.4	16.0	11.0	0.0	0.0	16.0	11.0	31.2
0.9	0.9.1	66.0	37.0	0.0	0.0	66.0	37.0	43.9
1.0	1.0.1	39.0	22.8	0.0	0.0	39.0	22.8	41.5
1.1	1.1.1	86.0	42.0	0.0	0.0	86.0	42.0	51.2
1.2	1.2.1	125.0	64.5	0.0	0.0	125.0	64.5	48.4
2.0	2.0.1	41.5	28.3	0.0	0.0	41.5	28.3	31.8
2.0	2.0.2	8.0	4.0	0.0	0.0	8.0	4.0	50.0
